species,eventDate,decimalLatitude,decimalLongitude
Balaenoptera musculus,2023-07-16T15:49:47Z,34.151644,-119.583518
Balaenoptera musculus,2024-06-08T15:40:27Z,34.174426,-119.940604
Balaenoptera musculus,2024-05-31T16:58:20Z,33.547969,-117.898164
Balaenoptera musculus,2024-06-08T16:14:54Z,34.174426,-119.940604
Balaenoptera musculus,2024-06-08T16:15:22Z,34.174426,-119.940604
Balaenoptera musculus,2025-07-23T16:41:44Z,33.364206,-118.237791
Balaenoptera musculus,2023-07-16T11:24:47Z,34.151644,-119.583518
Balaenoptera musculus,2025-08-17T10:31:57Z,32.623196,-117.917912
Balaenoptera musculus,2025-06-10T00:00:00Z,32.742043,-117.666344
Balaenoptera musculus,2023-05-17T13:56:08Z,33.685498,-118.341508
Balaenoptera musculus,2023-05-17T13:56:08Z,33.685498,-118.341508
Balaenoptera musculus,2025-08-17T10:28:11Z,32.628858,-117.86205
Balaenoptera musculus,2025-08-17T10:17:21Z,32.843646,-118.004818
Balaenoptera musculus,2025-08-06T11:28:23Z,33.467841,-117.99545
Balaenoptera musculus,2025-08-06T11:29:24Z,33.467841,-117.99545
Balaenoptera musculus,2025-08-06T13:40:52Z,33.467841,-117.99545
Balaenoptera musculus,2024-06-30T15:55:22Z,32.620749000000004,-117.378771
Balaenoptera musculus,2025-06-24T00:00:00Z,32.671977,-117.2722
Balaenoptera musculus,2025-06-24T00:00:00Z,32.701991,-117.294198
Balaenoptera musculus,2025-06-24T00:00:00Z,32.701991,-117.294198
Balaenoptera musculus,2025-08-16T11:41:10Z,33.446577,-117.880008
Balaenoptera musculus,2025-06-11T00:00:00Z,32.618954,-117.638662
Balaenoptera musculus,2025-07-14T00:00:00Z,32.688492,-117.32489700000001
Balaenoptera musculus,2025-07-14T00:00:00Z,32.688492,-117.32489700000001
Balaenoptera musculus,2025-05-31T09:22:33Z,32.73306,-117.518555
Balaenoptera musculus,2025-05-31T09:22:34Z,32.73306,-117.518555
Balaenoptera musculus,2025-06-16T21:19:33Z,32.532776,-117.235279
Balaenoptera musculus,2025-05-29T00:00:00Z,32.712603,-117.551239
Balaenoptera musculus,2025-08-16T16:15:00Z,33.4287,-117.87745
Balaenoptera musculus,2025-05-28T00:00:00Z,32.653221,-117.496406
Balaenoptera musculus,2025-05-28T00:00:00Z,32.653221,-117.496406
Balaenoptera musculus,2025-05-29T00:00:00Z,32.748021,-117.476904
Balaenoptera musculus,2025-05-01T08:24:09Z,32.63,-117.37
Balaenoptera musculus,2025-05-01T08:24:31Z,32.63,-117.37
Balaenoptera musculus,2024-07-14T02:10:00Z,32.692618,-117.497492
Balaenoptera musculus,2025-08-17T11:44:47Z,32.619834,-117.860152
Balaenoptera musculus,2025-08-17T11:43:49Z,32.61978,-117.904242
Balaenoptera musculus,2025-08-16T11:25:27Z,33.496882,-117.932774
Balaenoptera musculus,2025-04-25T15:26:38Z,33.700926,-118.294023
Balaenoptera musculus,2025-08-16T12:06:24Z,33.534844,-117.92402
Balaenoptera musculus,2025-08-16T12:56:30Z,32.666863,-117.874864
Balaenoptera musculus,2024-07-10T11:23:02Z,32.14,-119.17
Balaenoptera musculus,2025-08-16T12:56:30Z,32.666863,-117.874864
Balaenoptera musculus,2025-08-17T09:59:26Z,32.611643,-117.840448
Balaenoptera musculus,2025-08-05T14:41:37Z,33.471338,-117.902527
Balaenoptera musculus,2025-08-05T11:56:20Z,33.449408,-117.968445
Balaenoptera musculus,2024-06-18T11:49:47Z,34.050054,-119.463936
Balaenoptera musculus,2024-06-18T11:50:31Z,34.050054,-119.463936
Balaenoptera musculus,2024-06-18T11:49:47Z,34.050054,-119.463936
Balaenoptera musculus,2025-08-17T11:10:29Z,32.616176,-117.876772
Balaenoptera musculus,2025-08-16T12:45:54Z,32.648168,-117.660793
Balaenoptera musculus,2025-08-17T09:31:25Z,32.624898,-117.87845
Balaenoptera musculus,2025-08-16T10:24:42Z,32.689838,-117.956432
Balaenoptera musculus,2025-08-16T09:41:12Z,32.640625,-117.748958
Balaenoptera musculus,2025-08-16T12:50:35Z,32.668376,-117.888134
Balaenoptera musculus,2025-06-06T10:09:21Z,32.666256,-117.47745
Balaenoptera musculus,2024-06-14T11:57:43Z,34.118688,-119.597592
Balaenoptera musculus,2024-06-14T12:15:21Z,32.63,-117.37
Balaenoptera musculus,2024-06-14T11:28:33Z,32.63,-117.37
